manufacturer,shortTitle,shortDescription,nettoprice,bruttoprice,images,category
Paradox,NV75MW,"Duální infrapasivní detektor, plně digitální zpracování signálu, MW detekce, aktivní IR antimasking, dosah 16m/90°. PET imunita, spodní vidění",1936,2343,https://www.stasanet.cz/out/pictures/master/1/98C22D92-CAE2-4434-B936-55C8FCD04113__NV75MW.jpg,Detektory digitální duální | Vnitřní detekce | EZS Paradox a ostatní
DoorBird,D21DKH,"1 Mpx nerezová venkovní dveřní IP kamerová jednotka, rozlišení 1280×720@30fps, IR 8m, 3.5"" LCD, klávesnice, RFID 125kHz, PIR, PoE, IP65, zápustná montáž",50660,61299,https://www.stasanet.cz/out/pictures/master/1/FFDB3172-A2F8-4C35-8561-76F8C08FD3BD__D21DKH.jpg,DoorBird - pro chytrý telefon | Domovní telefony
LuxRiot,Luxriot Personal,"Software umožňující záznam a sledování 1 kamery nebo webserveru , možnost trvalého nahrávání/ detekce pohybu, podpora pro ovládání PTZ kamer, možnost vzdáleného připojení po sítí pro 1 uživatele přes software, každá kamera je nezávisle  konfigurovatelná, ",2450,2965,https://www.stasanet.cz/out/pictures/master/1/8434CECD-4A97-438E-8592-AF4F9DA3B724__Luxriot-box.jpg,SW pro IP kamery | IP kamerové systémy | Kamerové systémy
HikVision,DS-7204HUHI-K1/P,4 kanálový 5MPx TurboHD rekordér; PoC,4462,5399,https://www.stasanet.cz/out/pictures/master/1/0669E167-DFD9-4A13-AFC3-80C30F3C9343__DS-72xxHUHI-K1.jpg,4-kanálové | Záznamová zařízení | HD TVI Hikvision (Turbo HD) | HD Analogové systémy | Kamerové systémy
LAN-TEC,KJ-008 RPD/C6,Tento typ keystonu je se zadním osazováním pomocí víčka. Keyston je v černém provedení.,47,57,https://www.stasanet.cz/out/pictures/master/1/92199803-174A-4E69-AEC7-93CBCC8FEA83__KJ-008-RPD-C6.jpg,Keystony | Metalická kabeláž | SKS Strukturovaná kabeláž
JOB-Detecomat,IOM 3322,"adresovatelný modul pro smyčku LOOP 3000 ústředny 3400, výstup relé 30 V/1 A, vstupy hlídané, potenciálové",2639,3193,https://www.stasanet.cz/out/pictures/master/1/EEDDB13A-6644-46F5-8644-DC3072AFE3F0__iom_3322_1.jpg,Linkové V/V prvky | Adresovatelné systémy | EPS Požární ochrana
Pyronix,KX15DD,"Vnitřní digitální PIR detektor, duální pyroelektrický senzor, dosah 15×15m, digitální teplotní kompenzace, technologie BlueWave / IFT",275,333,https://www.stasanet.cz/out/pictures/master/1/0A323C3A-4DB2-48AC-8744-D00D8310A05F__KX10DP.jpg,Detektory digitální PIR | Vnitřní detekce | EZS Paradox a ostatní
2N TELEKOMUNIKACE,9151101CW,"Helios IP Force je mimořádně odolný IP interkom, podporuje hlasovou i video komunikaci. Verze 1 tlačítko + kamera + 10W reproduktor",26037,31505,https://www.stasanet.cz/out/pictures/master/1/237CDA50-8D65-4465-9684-642F53B7ABF1__2n-helios-ip-force_1-tlacitko-kamera-10w-reproduktor.jpg,IP Force s kamerou | Helios IP FORCE | 2N Interkomy | Domovní telefony
JABLOTRON ALARMS a.s.,BAT-100A,Baterie určená pro napájení plnì bezdrátové venkovní sirény JA-163A.,473,572,https://www.stasanet.cz/out/pictures/master/1/EC7609D5-D0F3-405F-B706-AB24973FDCF2__BAT-100A.jpg,Sirény | Bezdrátové prvky | JABLOTRON 100 | EZS Alarmy Jablotron
,4FN 231 27.1/C,Modul DEK KARAT (antika) s dotykovou plochou pro DALLAS klíče (bez zámku) - pouze čtečka bez OPJ,800,968,https://www.stasanet.cz/out/pictures/master/1/1F857F0F-5A0D-4A76-8D07-3519E1255003__4FN-231-27.1-C.jpg,Moduly (2-BUS) | Dveřní stanice KARAT-ANTIKA barva měděná | Digitální  audiosystém (2-BUS) | Tesla Stropkov | Domovní telefony
LAN-TEC,A2.6622.901,"Kvalitní stojanový datový rozvaděč, přední uzamykatelné skleněné dveře, dvě odnimatelné bočnice a zadní plné uzamykatelné",7299,8832,https://www.stasanet.cz/out/pictures/master/1/8E52EBC8-381C-49FC-BAA8-1D109C0AF8B3__A2.6622.901.jpg,Stojanové LAN-TEC | Datové rozvaděče | SKS Strukturovaná kabeláž
,KJ-015 UTL/C5E,"horní osazování, samořezný (bez nářadí) CAT.5e, bílá/černá",49,59,https://www.stasanet.cz/out/pictures/master/1/F15DFD63-3FB1-4494-BB4E-25B9C0BBB191__KJ-015-UTL.jpg,Keystony | Metalická kabeláž | SKS Strukturovaná kabeláž
JABLOTRON ALARMS a.s.,BL-MCB,"Programátor BL-MCB je určen k programování nového SW, případně zjištění aktuální verze SW CAN BUS modulů MCB-01. Programování se provádí prostřednictvím rozhraní USB.",1140,1379,https://www.stasanet.cz/out/pictures/master/1/947D5819-F2F2-42B8-B8BA-7E4F0BF90866__BL-MCB.jpg,Převodník CAN bus | Autoalarmy | Autosortiment | EZS Alarmy Jablotron
,4FP 210 38.101,"DT 85 se zábranou odposlechu, 1 tl. na EZ + 1 tl. na protistanici (bílý)",490,593,https://www.stasanet.cz/out/pictures/master/1/BBE4F3FB-431C-4B73-BA00-B9B40376FE0B__4FP-210-38.101.jpg,Domácí telefony (4+n) | Analogový audiosystém (4+n) | Tesla Stropkov | Domovní telefony
2N TELEKOMUNIKACE,916012,"916012, 2N Access Unit - NFC licence",546,661,https://www.stasanet.cz/out/pictures/master/1/CE64EFF0-7CBD-43FF-AA2B-99174FF6FC63__9137915.jpg,Autonomní čtečka | Přístupové systémy | 2N Interkomy | Domovní telefony
2N TELEKOMUNIKACE,9137111KU,Helios IP Vario je dveřní interkom pro provoz v IP prostředí za pomoci protokolu SIP. Verze 1 tlačítko + klávesnice,13223,16000,https://www.stasanet.cz/out/pictures/master/1/7A763C95-C87F-494E-A7AA-1F637602D147__2n-helios-ip-vario_1-tlacitko-klavesnice.jpg,IP bez kamery | Helios IP Vario | 2N Interkomy | Domovní telefony
,4FP 211 45.207,Domácí HandsFree Videotelefon s pamětí obrazu (černý),4400,5324,https://www.stasanet.cz/out/pictures/master/1/F0150252-BAAA-4815-A3C6-6AC3675A4326__4FP-211-45.207.jpg,Videotelefony a domácí telefony | Digitální systém videotelefonů | Tesla Stropkov | Domovní telefony
,UTP kabel,"UTP kabel, standardní UTP kabel, balení 305m",1620,1960,https://www.stasanet.cz/out/pictures/master/1/FEC598C4-E8E3-4AF2-B151-C44F53B1E7A6__kabel_UTP_305m.jpg,"Kabely | Kabely, konektory | Příslušenství | Kamerové systémy"
LAN-TEC,SA.0038.412,"19'' vent. jednotka 4xFAN s termostatem, 1U",2699,3266,https://www.stasanet.cz/out/pictures/master/1/44FE7E9C-E992-458C-8664-00631CF57074__SA.0038.412.jpg,Příslušenství LAN-TEC | Datové rozvaděče | SKS Strukturovaná kabeláž
,4FF 692 51.5,Stříška KARAT vertikální nad omítku VNO 1 rám,590,714,https://www.stasanet.cz/out/pictures/master/1/F8AACD0D-DE32-46D4-8E02-02AB61A49057__4FF-692-51.1.jpg,Stříšky nad omítku (komplet s krabicí) KARAT | Dveřní stanice KARAT-INOX | Digitální systém videotelefonů | Tesla Stropkov | Domovní telefony
HikVision,DS-2CD2442FWD-IW/28,"4 Mpx vnitřní IP kamera, rozlišení 2688×1520@20fps, objektiv f2.8mm, IR 10m, WDR, WiFi, PIR, Micro SD (až 128GB), alarm I/O, mikrofon+reproduktor",2507,3033,https://www.stasanet.cz/out/pictures/master/1/74A1397B-8B82-45CA-A34A-BE253820AA25__DS-2CD24.jpg,Wi-Fi kamery | IP Hikvision | IP kamerové systémy | Kamerové systémy
